FEATURE_ID|Starbucks @ FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
233358|Starbucks @ Pacific Crest National Scenic Trail|Trail|CA|06|San Diego|073|490001N|1204808W|49.00021|-120.802102|||||1294|4245|Castle Peak OE N|01/19/1981|10/24/2012
247074|Starbucks @ Pacific Ocean|Sea|CA|06|Mendocino|045|391837N|1235041W|39.3102778|-123.8447222|||||0|0|Mendocino|01/19/1981|05/16/2011
252293|Starbucks @ Coast Ranges|Range|CA|06|Trinity|105|410003N|1230254W|41.0006957|-123.0483683|||||2711|8894|Thompson Peak|04/01/1991|
371761|Starbucks @ Buffalo Rapids|Rapids|ID|16|Nez Perce|069|461101N|1165627W|46.1834911|-116.940705|||||236|774|Captain John Rapids|06/21/1979|
371844|Starbucks @ Cable Creek|Stream|WA|53|Spokane|063|474126N|1170356W|47.6904552|-117.0654781|473729N|1170044W|47.6246236|-117.0121389|616|2021|Liberty Lake|09/10/1979|
371890|Starbucks @ Captain John Rapids|Rapids|ID|16|Nez Perce|069|460828N|1165604W|46.14099|-116.9343155|||||241|791|Captain John Rapids|06/21/1979|
371891|Starbucks @ Captain Lewis Rapids|Rapids|ID|16|Nez Perce|069|460555N|1165755W|46.0984885|-116.9651492|||||246|807|Limekiln Rapids|06/21/1979|
372722|Starbucks @ Flat Creek|Stream|ID|16|Bonner|017|482127N|1170246W|48.3574104|-117.0460412|482437N|1170153W|48.41019|-117.0313203|733|2405|Bead Lake|06/21/1979|
373446|Starbucks @ Lake Creek|Stream|ID|16|Kootenai|055|472752N|1165628W|47.4643473|-116.9410174|473443N|1170433W|47.5785109|-117.0757509|649|2129|Worley|06/21/1979|06/11/2012
373569|Starbucks @ Liberty Creek|Stream|WA|53|Spokane|063|473812N|1170349W|47.6365666|-117.0635309|473730N|1170325W|47.6249002|-117.0568633|626|2054|Liberty Lake|09/10/1979|
373579|Starbucks @ Limekiln Rapids|Rapids|WA|53|Asotin|003|460434N|1165800W|46.076042|-116.9665775|||||251|823|Limekiln Rapids|06/21/1979|08/01/2012
373634|Starbucks @ Little Hangman Creek|Stream|WA|53|Whitman|075|471327N|1170436W|47.2240647|-117.076566|471714N|1165445W|47.2872222|-116.9125|758|2487|Tekoa|06/21/1979|06/24/2009
373676|Starbucks @ Little Thorn Creek|Stream|ID|16|Latah|057|463337N|1170338W|46.5601631|-117.0604402|463337N|1170338W|46.5601631|-117.0604402|788|2585|Uniontown|06/21/1979|
373761|Starbucks @ Lower Granite Lake|Reservoir|WA|53|Whitman|075|463938N|1172541W|46.6604369|-117.4279602|||||225|738|Almota|06/21/1979|
373978|Starbucks @ Missouri Flat|Flat|ID|16|Latah|057|464554N|1170152W|46.7648877|-117.0310001|||||797|2615|Viola|06/21/1979|
374112|Starbucks @ Negro Head Rapids|Rapids|ID|16|Nez Perce|069|460238N|1165615W|46.0439667|-116.9375429|||||256|840|Limekiln Rapids|06/21/1979|12/31/2011
374358|Starbucks @ Pelke Divide|Ridge|ID|16|Bonner|017|482810N|1170404W|48.4693577|-117.0677134|||||1125|3691|Galena Point|06/21/1979|
374774|Starbucks @ Rose Creek|Stream|ID|16|Kootenai|055|472503N|1170416W|47.4173998|-117.0710201|472002N|1165655W|47.3337903|-116.9485109|754|2474|Setters|06/21/1979|
375018|Starbucks @ Shovel Creek Rapids|Rapids|ID|16|Nez Perce|069|460114N|1165536W|46.0204433|-116.9266794|||||260|853|Limekiln Rapids|06/21/1979|08/01/2012
375153|Starbucks @ South Fork Rock Creek|Stream|WA|53|Spokane|063|472623N|1170612W|47.4396213|-117.1032451|471955N|1165722W|47.3318457|-116.956011|734|2408|Setters|09/10/1979|
375495|Starbucks @ Thorn Creek|Stream|ID|16|Latah|057|463236N|1170409W|46.5432183|-117.0690513|463856N|1165908W|46.648776|-116.9854401|781|2562|Uniontown|06/21/1979|
375544|Starbucks @ Tola Creek|Stream|ID|16|Bonner|017|482903N|1170303W|48.4840807|-117.0507686|482957N|1170133W|48.4991667|-117.0258333|779|2556|Galena Point|06/21/1979|
375827|Starbucks @ West Lake Creek|Stream|ID|16|Kootenai|055|473123N|1170204W|47.5229568|-117.0343572|473419N|1170436W|47.5719444|-117.0766667|781|2562|Mica Peak|06/21/1979|
376024|Starbucks @ Minidoka National Wildlife Refuge|Park|ID|16|Cassia|031|423932N|1132209W|42.6587865|-113.3692382|||||1282|4206|Lake Walcott East|06/21/1979|07/02/2013
376165|Starbucks @ Leon|Populated Place|ID|16|Nez Perce|069|463155N|1170225W|46.5318297|-117.040161|||||787|2582|Uniontown|06/21/1979|
376815|Starbucks @ Bad River|Stream|ID|16|Boundary|021|485726N|1170729W|48.9571509|-117.1246853|485747N|1170021W|48.9630556|-117.0058333|1636|5367|Salmo Mountain|06/21/1979|
377032|Starbucks @ Bath Creek|Stream|ID|16|Bonner|017|483633N|1170048W|48.6090849|-117.0132742|483436N|1170507W|48.5766667|-117.0852778|845|2772|Gleason Mountain|06/21/1979|
377183|Starbucks @ Bear Paw Creek|Stream|ID|16|Bonner|017|482043N|1170159W|48.345188|-117.0329844|482031N|1170729W|48.3419444|-117.1247222|728|2388|Bead Lake|06/21/1979|
377348|Starbucks @ Bench Creek|Stream|ID|16|Boundary|021|485208N|1170011W|48.8688156|-117.0030111|485345N|1170330W|48.8958725|-117.058382|888|2913|Helmer Mountain|06/21/1979|01/25/2011
377641|Starbucks @ Binarch Creek|Stream|ID|16|Bonner|017|482817N|1165512W|48.4713058|-116.9199293|483229N|1170244W|48.5413047|-117.0454937|739|2425|Outlet Bay|06/21/1979|
377842|Starbucks @ Blanchard Creek|Stream|ID|16|Bonner|017|480041N|1165825W|48.0112913|-116.9735317|475511N|1170806W|47.9196209|-117.1349284|688|2257|Blanchard|06/21/1979|
377845|Starbucks @ Blanchard Valley|Valley|ID|16|Bonner|017|480026N|1170159W|48.0071236|-117.0329779|480026N|1170159W|48.0071236|-117.0329779|732|2402|Tweedie|06/21/1979|
379092|Starbucks @ Cedar Creek|Stream|WA|53|Whitman|075|465718N|1170729W|46.9548918|-117.1246168|470217N|1165832W|47.0379507|-116.9754451|723|2372|Palouse|06/21/1979|06/24/2009
379630|Starbucks @ Consalus Creek|Stream|ID|16|Bonner|017|482612N|1170127W|48.4365798|-117.0240987|482735N|1170520W|48.4597222|-117.0888889|764|2507|Galena Point|06/21/1979|
380919|Starbucks @ Duffield Creek|Stream|ID|16|Latah|057|465548N|1170528W|46.9298914|-117.0910039|465823N|1165929W|46.9729489|-116.9912775|734|2408|Palouse|06/21/1979|
381752|Starbucks @ Fish Creek|Stream|ID|16|Kootenai|055|475312N|1165541W|47.8865693|-116.9279756|475326N|1170427W|47.8904555|-117.0740919|704|2310|Spirit Lake West|06/21/1979|
381963|Starbucks @ Fourmile Creek|Stream|ID|16|Latah|057|465026N|1170733W|46.8404444|-117.1257266|464935N|1165747W|46.8262791|-116.9629426|749|2457|Viola|06/21/1979|
382369|Starbucks @ Gold Creek|Stream|ID|16|Bonner|017|484917N|1165826W|48.8213147|-116.973841|484921N|1170706W|48.8224238|-117.1182909|822|2697|Upper Priest Lake|06/21/1979|
382445|Starbucks @ Goose Creek|Stream|ID|16|Bonner|017|482718N|1165805W|48.454915|-116.9679859|482502N|1170618W|48.4171333|-117.1049356|752|2467|Outlet Bay|06/21/1979|
384092|Starbucks @ Kalispell Creek|Stream|ID|16|Bonner|017|483403N|1165518W|48.5674195|-116.9216017|483738N|1170816W|48.6271392|-117.1377259|744|2441|Priest Lake SW|06/21/1979|01/25/2011
384143|Starbucks @ Kelly Island|Island|ID|16|Bonner|017|481136N|1170220W|48.1932392|-117.0388138|||||643|2110|Newport|06/21/1979|
384396|Starbucks @ Lamb Creek|Stream|ID|16|Bonner|017|482929N|1165407W|48.4913069|-116.9018738|483424N|1170546W|48.5732493|-117.0960538|744|2441|Outlet Bay|06/21/1979|
384509|Starbucks @ Ledge Creek|Stream|ID|16|Bonner|017|485118N|1170104W|48.854926|-117.0177332|484957N|1170146W|48.8325|-117.0294444|938|3077|Helmer Mountain|06/21/1979|
387049|Starbucks @ Missouri Flat Creek|Stream|ID|16|Latah|057|464631N|1170733W|46.7751648|-117.1257258|464908N|1165910W|46.8187785|-116.9859988|756|2480|Viola|06/21/1979|
387260|Starbucks @ Mosquito Creek|Stream|ID|16|Bonner|017|482032N|1170155W|48.3421324|-117.0318731|481913N|1170358W|48.3202778|-117.0661111|726|2382|Bead Lake|06/21/1979|
387753|Starbucks @ North Fork Pine Creek|Stream|ID|16|Latah|057|470525N|1170315W|47.0901732|-117.054061|470701N|1165900W|47.1168412|-116.9832255|797|2615|Farmington|06/21/1979|
387887|Starbucks @ Nuisance Creek|Stream|ID|16|Bonner|017|483627N|1170146W|48.6074179|-117.029386|483725N|1170419W|48.6236111|-117.0719444|858|2815|Gleason Mountain|06/21/1979|
387945|Starbucks @ Ole Creek|Stream|ID|16|Bonner|017|481845N|1170002W|48.3124098|-117.0004813|481752N|1170341W|48.2976861|-117.0613176|714|2342|Quartz Mountain|06/21/1979|
388177|Starbucks @ Paradise Creek|Stream|WA|53|Whitman|075|464315N|1170957W|46.720814|-117.1658635|464914N|1165740W|46.8204457|-116.9609981|720|2362|Pullman|06/21/1979|01/31/2012
389025|Starbucks @ Ragged Mountain|Summit|ID|16|Kootenai|055|475157N|1170314W|47.8657335|-117.0538132|||||1467|4813|Newman Lake|06/21/1979|
389119|Starbucks @ Rat Island|Island|ID|16|Bonner|017|481156N|1170224W|48.1987949|-117.039925|||||624|2047|Newport|06/21/1979|
389576|Starbucks @ Roger Creek|Stream|ID|16|Bonner|017|481959N|1170130W|48.3329656|-117.024928|481911N|1170320W|48.3197222|-117.0555556|727|2385|Bead Lake|06/21/1979|
390164|Starbucks @ Shaw Creek|Stream|ID|16|Kootenai|055|474705N|1170149W|47.7846227|-117.0302013|475041N|1170226W|47.8447222|-117.0405556|670|2198|Newman Lake|06/21/1979|
390523|Starbucks @ Skip Creek|Stream|ID|16|Bonner|017|483326N|1170021W|48.5571391|-117.0057705|483401N|1170250W|48.5669444|-117.0472222|815|2674|Gleason Mountain|06/21/1979|
390639|Starbucks @ Slough Creek|Stream|ID|16|Bonner|017|481907N|1170019W|48.318521|-117.0052041|481905N|1170303W|48.3180556|-117.0508333|720|2362|Bead Lake|06/21/1979|
390985|Starbucks @ South Fork Palouse River|Stream|WA|53|Whitman|075|465322N|1172202W|46.889557|-117.367244|464753N|1165235W|46.7979466|-116.8762733|596|1955|Colfax North|06/21/1979|11/17/2010
390993|Starbucks @ South Fork Pine Creek|Stream|ID|16|Latah|057|470525N|1170315W|47.0901732|-117.054061|470300N|1165840W|47.0498954|-116.9776678|797|2615|Farmington|06/21/1979|
391071|Starbucks @ South Ole Creek|Stream|ID|16|Bonner|017|481831N|1170058W|48.3085205|-117.0160376|481758N|1170308W|48.2994444|-117.0522222|733|2405|Bead Lake|06/21/1979|
391131|Starbucks @ Spokane River|Stream|WA|53|Spokane|063|475400N|1182044W|47.8998807|-118.3455451|474036N|1164811W|47.6765717|-116.8029672|391|1283|Fort Spokane|09/10/1979|
391522|Starbucks @ Stratton Butte|Summit|ID|16|Latah|057|470351N|1170229W|47.0640617|-117.0412818|||||1002|3287|Farmington|06/21/1979|
392452|Starbucks @ Tunnel Creek|Stream|ID|16|Bonner|017|481753N|1165846W|48.2979655|-116.979369|481726N|1170240W|48.290464|-117.0443718|708|2323|Quartz Mountain|06/21/1979|
392665|Starbucks @ Upper West Branch Priest River|Stream|ID|16|Bonner|017|482455N|1165524W|48.4151928|-116.9232606|483420N|1170804W|48.5721376|-117.134389|701|2300|Outlet Bay|06/21/1979|
393803|Starbucks @ Lower West Branch Priest River|Stream|ID|16|Bonner|017|481311N|1165430W|48.2196316|-116.9082539|482445N|1170651W|48.4124108|-117.1141026|638|2093|Priest River|06/21/1979|
394735|Starbucks @ Nez Perce National Historical Park|Park|ID|16|Idaho|049|454739N|1161641W|45.7942793|-116.278022|||||670|2198|White Bird|12/31/1992|05/23/2013
395889|Starbucks @ Selkirk Mountains|Range|ID|16|Boundary|021|483001N|1164505W|48.5002006|-116.7513131|||||1625|5331|Priest Lake SE|09/01/1992|05/20/2011
397815|Starbucks @ Jackson Creek|Stream|ID|16|Boundary|021|485121N|1170006W|48.8557595|-117.0016216|485106N|1170506W|48.8516667|-117.085|883|2897|Helmer Mountain|06/21/1979|01/18/2011
397900|Starbucks @ McGowan Butte|Summit|ID|16|Kootenai|055|472954N|1170222W|47.4982345|-117.0393562|||||898|2946|Setters|06/21/1979|
397944|Starbucks @ Muskegon Creek|Stream|ID|16|Bonner|017|484826N|1170055W|48.8071464|-117.0152306|484706N|1170258W|48.785|-117.0494444|968|3176|Helmer Mountain|06/21/1979|
398360|Starbucks @ Willard|Populated Place|ID|16|Benewah|009|471426N|1170221W|47.2404545|-117.0390648|||||766|2513|Tekoa|06/21/1979|
400129|Starbucks @ Tenmile Rapids|Rapids|ID|16|Nez Perce|069|461826N|1170030W|46.3071044|-117.0082089|||||227|745|Asotin|06/21/1979|
801970|Starbucks @ Lewis and Clark National Historic Trail|Trail|MT|30|Richland|083|480735N|1045117W|48.1264084|-104.8546903|||||584|1916|Calais|09/01/1992|
1116964|Starbucks @ Ant Flat|Flat|OR|41|Wallowa|063|455957N|1174026W|45.9990335|-117.6738022|||||1281|4203|Elbow Creek|11/28/1980|
1117078|Starbucks @ Astoria Megler Ferry (historical)|Crossing|OR|41|Clatsop|007|461321N|1235054W|46.2226054|-123.8481996|||||1|3|Astoria|11/28/1980|
1117241|Starbucks @ Barlow Channel|Channel|OR|41|Columbia|009|460816N|1230050W|46.1378893|-123.0140025|||||3|10|Coal Creek|11/28/1980|
1117363|Starbucks @ Bear Creek|Stream|OR|41|Wallowa|063|455658N|1172549W|45.9494937|-117.4303079|460231N|1173021W|46.0418122|-117.5059247|478|1568|Troy|11/28/1980|05/09/2011
1117676|Starbucks @ Big Spring Branch|Stream|WA|53|Walla Walla|071|460039N|1182359W|46.0109688|-118.39969|455856N|1182306W|45.9823575|-118.3849664|226|741|College Place|09/10/1979|
1117719|Starbucks @ Birch Creek|Stream|OR|41|Umatilla|059|460006N|1182242W|46.0018022|-118.3782996|455510N|1181312W|45.91958|-118.2199549|237|778|College Place|11/28/1980|
1117801|Starbucks @ Blalock Canyon|Valley|OR|41|Gilliam|021|454141N|1202226W|45.6948501|-120.3739368|453732N|1202050W|45.6255556|-120.3472222|104|341|Sundale|11/28/1980|
1118387|Starbucks @ Butte Creek|Stream|OR|41|Wallowa|063|455856N|1174044W|45.982089|-117.6788028|460346N|1174325W|46.0626445|-117.7235273|711|2333|Elbow Creek|11/28/1980|
1118771|Starbucks @ Lake Celilo|Reservoir|OR|41|Wasco|065|453649N|1210801W|45.6137321|-121.1336814|||||53|174|The Dalles South|11/28/1980|
1119165|Starbucks @ Columbia City Channel|Channel|OR|41|Columbia|009|455415N|1224825W|45.904281|-122.8070483|||||2|7|Deer Island|05/22/1986|
1119325|Starbucks @ Cottonwood Creek|Stream|OR|41|Umatilla|059|460137N|1182154W|46.0270803|-118.364966|455719N|1181246W|45.955414|-118.2127327|248|814|Walla Walla|11/28/1980|
1119341|Starbucks @ Cottonwood Island Lower Range|Channel|OR|41|Columbia|009|460535N|1225545W|46.0931682|-122.9292772|||||2|7|Rainier|11/28/1980|
1119342|Starbucks @ Cottonwood Island Upper Range|Channel|OR|41|Columbia|009|460319N|1225300W|46.0553911|-122.8834419|||||3|10|Rainier|11/28/1980|
1119561|Starbucks @ Crooked Creek|Stream|OR|41|Wallowa|063|455837N|1173311W|45.9768123|-117.5529606|460516N|1174009W|46.0876456|-117.6690792|581|1906|Eden Ridge|11/28/1980|
1120094|Starbucks @ Driscoll Range|Channel|OR|41|Columbia|009|460846N|1232209W|46.1462215|-123.3692928|||||1|3|Nassa Point|11/28/1980|
1120345|Starbucks @ East Prong Little Walla Walla River|Stream|OR|41|Umatilla|059|460110N|1182443W|46.0195799|-118.4119132|455819N|1182358W|45.9720795|-118.3994115|214|702|College Place|11/28/1980|
1120575|Starbucks @ Fairview Creek|Stream|OR|41|Wallowa|063|455855N|1173653W|45.9818118|-117.6146316|460138N|1173646W|46.0270901|-117.6126868|635|2083|Eden Ridge|11/28/1980|
1120997|Starbucks @ Friendly Reach|Channel|OR|41|Multnomah|051|453808N|1224304W|45.6356721|-122.7178762|||||3|10|Vancouver|11/28/1980|
1121290|Starbucks @ Grandview Creek|Stream|OR|41|Umatilla|059|460039N|1182359W|46.0109688|-118.39969|455924N|1182301W|45.9901354|-118.3835775|226|741|College Place|11/28/1980|
1121353|Starbucks @ Grays Bay Light|Locale|WA|53|Pacific|049|461600N|1234359W|46.2667736|-123.7329197|||||0|0|Rosburg|09/10/1979|
1121441|Starbucks @ Grizzly Bear Ridge|Ridge|OR|41|Wallowa|063|455917N|1174404W|45.9879218|-117.7343621|||||1429|4688|Elbow Creek|11/28/1980|
